1	1	1366514482		Just had an amazing meal at L'Ardois w/ @Mary
2	2	1366515415	1	@John you're an intollerable glutton. Take @Jane next time :-)
3	6	1366515683	1	@John OMNOMNOM COQ AU VIN #YOLO
4	5	1366517023		Hey internet, show me cats
5	3	1366517043		@UnicornSparklepants why your pants so shiny?
6	6	1366517103	5	Target had a sale on sequins. And I'm awesome.
7	3	1366517141		HOLD ONTO YOUR BUTTS!
8	2	1366517153	7	@Mike Why would anyone watch Jurrasic Park in 3D? I'd be violently ill..
9	4	1366517193	8	@Mike @Mary Richard Attenborough's grandkids are made of plastic and frog DNA
10	1	1366517211	8	@Mike @Mary I gotta get me some of those khaki short shorts
11	4	1366517233	10	@John Velociraptor bait
12	6	1366517240	10	BUT DO THEY SPARKLE?? #AMIRIGHT
13	3	1366517257	11	Newman has left the building
14	1	1366517310	13	Shoulda been "Velociraptors on a Plane"
15	4	1366517321	13	B.D. Wong vs Samuel L. Jackson-- Discuss.
16	2	1366517349	15	Dinosaurs eat man, woman inherits the earth
17	6	1366518755	16	I'M ALWAYS ON THE LOOKOUT FOR A FUTURE EX MRS UNICORNSPARKLEPANTS
